KE,KT,HC_prop,scale,KC,scenario,HC_label,N,dN
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.38705983395362,0.001197528272385475
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.490123103349557,0.0012972471195995272
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.593186372745492,0.0013983197739932298
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.696249642141424,0.0015007206915886304
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.79931291153736,0.0016044243284077774
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,16.902376180933295,0.001709405140472717
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.00543945032923,0.0018156375838055013
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.108502719725166,0.0019230961144281705
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.211565989121098,0.0020317551883627717
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.314629258517034,0.0021415892616313634
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.41769252791297,0.002252572790255982
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.520755797308905,0.0023646802302586803
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.62381906670484,0.0024778860376615066
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.726882336100772,0.0025921646684864993
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.829945605496707,0.0027074905787557173
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,17.933008874892643,0.0028238382244912064
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.03607214428858,0.0029411820617150078
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.139135413684514,0.0030594965464491725
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.242198683080446,0.003178756134715748
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.34526195247638,0.0032989352825367824
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.448325221872317,0.003420008445934323
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.551388491268252,0.0035419500809304194
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.654451760664188,0.0036647346435471143
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.75751503006012,0.0037883365898064526
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.860578299456055,0.0039127303757304915
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,18.96364156885199,0.004037890457341277
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.066704838247926,0.00416379129066085
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.169768107643858,0.004290407331711258
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.272831377039793,0.004417713036514558
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.37589464643573,0.004545682861092789
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.478957915831664,0.004674291261468001
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.5820211852276,0.004803512693662243
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.68508445462353,0.0049333216136975555
8,15,0.35,0.01,42.85714285714286,"KE = 8, KT = 15",HC = 35%,19.788147724019467,0.005063692477595996
