site_code,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,sim_id,basin_start
RR,10,0.5244195356285029,8.069130225339904,26.563157667405903,50.65249454441217,50.65249454441217,0.002442896475540848,FALSE,97,Endemic
TW,15,0.3655999999999999,6.077508883550763,28.171740823891014,77.05618387278726,77.05618387278726,0.006067316521985537,FALSE,98,Endemic
SI,20,0.4496,3.5801159583497792,29.305788329802454,65.18191354493429,65.18191354493429,0.00276200940793272,FALSE,99,Endemic
GR,20,0.6021052631578947,6.746883388608694,43.25083328643814,71.83267766104237,71.83267766104237,0.014487078712101037,FALSE,100,Endemic
RR,55,0.39556592765460913,9.481729727704078,26.32431623758748,66.54849267142322,66.54849267142322,0.0020828095512215364,FALSE,101,Outbreak basin
SI,0,0.4432,4.036484935320914,43.88690472347662,99.02279946632811,99.02279946632811,0.016937628262278025,FALSE,102,Endemic
TW,40,0.4238782051282051,7.805468769976869,35.43654575245455,83.60077334416499,83.60077334416499,0.015621012483533654,FALSE,103,Outbreak basin
SI,10,0.7219983883964545,3.68351260968484,26.408029210288078,36.57629938612445,36.57629938612445,0.0018096920998602246,FALSE,104,Endemic
AL,15,0.2576,8.279077051207423,43.557654451578856,169.09027349215395,169.09027349215395,0.006514897269592145,FALSE,105,Endemic
SI,10,0.5785656728444802,7.836165952961892,18.824516020249575,32.53652420770157,32.53652420770157,0.0023933936307465524,FALSE,106,Endemic
RR,30,0.5244195356285029,5.696331449318677,35.122804013080895,66.97462933181379,66.97462933181379,0.0010655578307313385,FALSE,107,Endemic
GR,35,0.2915601023017903,8.768572099274024,19.21229647938162,65.89480634594923,65.89480634594923,0.015229936222475692,FALSE,108,Outbreak basin
RR,40,0.5584,4.122350116958842,30.587010530289263,54.77616498977304,54.77616498977304,0.0019592317030209467,FALSE,109,Outbreak basin
RR,25,0.46880000000000005,7.317727475659922,42.904231378342956,91.51926488554383,91.51926488554383,0.0012722568426454795,FALSE,110,Endemic
TW,50,0.4238782051282051,5.644157594302669,16.405610600486398,38.70359551872784,55.00000000000001,0.0011551336451236756,TRUE,111,Outbreak basin
SI,0,0.4496,3.3915629805997014,22.049164404161274,49.04173577438006,49.04173577438006,0.0033413342810792866,FALSE,112,Endemic
RR,15,0.5584,7.240556167904288,22.911558395717293,41.030727786026674,41.030727786026674,0.00755768314845958,FALSE,113,Endemic
GR,40,0.26380873866446825,8.648532028310001,17.19115153653547,65.16520879317977,65.16520879317977,0.005466169588008739,FALSE,114,Outbreak basin
GR,70,0.2915601023017903,4.20078943669796,30.634862780570984,105.07220480002854,105.07220480002854,0.009880917048793472,FALSE,115,Outbreak basin
AL,15,0.2201761409127302,3.258466475410387,31.819390472956,144.5178861844438,144.5178861844438,0.01633272158762521,FALSE,116,Endemic
AL,0,0.3111467522052927,7.73733602068387,23.948066860903054,76.96711179264462,76.96711179264462,0.0018661386728258877,FALSE,117,Endemic
AL,10,0.27884615384615385,9.093027360038832,15.57483836542815,55.85459275877681,55.85459275877681,0.011831018239995102,FALSE,118,Endemic
