sim_id,site_code,date,temp_c,r_t,N,N0,HC_prop,KE,KT,KC_raw,KC,scale,KC_constrained,basin_start,final_ratio_KC,final_ratio_KT,ended_above_KT,ended_near_KC,ended_near_KE,outcome
6610,RR,2026-06-26,30.371103922526043,0.15,39.25979811284029,35,0.46880000000000005,4.764124435372651,22.315306726377457,47.60091025251164,47.60091025251164,0.0019659676049655897,FALSE,Outbreak basin,0.8247699026043052,1.759321464599627,TRUE,FALSE,FALSE,Above threshold
6611,TB,2026-06-26,30.371103922526043,0.15,7.94373054257066,5,0.5164658634538153,8.982796699274331,40.49305447144434,78.40412568732224,78.40412568732224,0.0038153441120538584,FALSE,Endemic,0.10131776195363075,0.19617513784178892,FALSE,FALSE,TRUE,Endemic
6612,AL,2026-06-26,30.371103922526043,0.15,2.703719599778637,0,0.2696,5.794213994871825,21.069907878991216,78.15247729596149,78.15247729596149,0.0014903290939144653,FALSE,Endemic,0.034595443334953006,0.12832137735516694,FALSE,FALSE,TRUE,Endemic
6613,AL,2026-06-26,30.371103922526043,0.15,8.405430005996122,5,0.3111467522052927,9.80341838975437,28.92736911540851,92.97017857452168,92.97017857452168,0.0038164700731523433,FALSE,Endemic,0.09040995870798096,0.290570150796011,FALSE,FALSE,TRUE,Endemic
6614,RR,2026-06-26,30.371103922526043,0.15,31.70559954106211,30,0.5244195356285029,5.408486710162833,20.23290107259527,38.58151670178853,38.58151670178853,0.0013797153206643626,FALSE,Outbreak basin,0.8217820928639731,1.5670318076138965,TRUE,FALSE,FALSE,Above threshold
6615,AL,2026-06-26,30.371103922526043,0.15,13.11236775196731,15,0.3111467522052927,4.677518025506288,26.92826251499355,86.54521483555916,86.54521483555916,0.0010872113141536283,FALSE,Endemic,0.15150887055837295,0.48693701439765735,FALSE,FALSE,FALSE,Intermediate
6616,RR,2026-06-26,30.371103922526043,0.15,8.113975732339117,35,0.5012244897959184,5.837064352585003,36.83256427757442,73.48516488604017,73.48516488604017,0.01999857019360046,FALSE,Endemic,0.11041651393069832,0.22029353349365707,FALSE,FALSE,FALSE,Intermediate
6617,TW,2026-06-26,30.371103922526043,0.15,114.11192102324344,75,0.3191659983961508,6.342370462603867,38.60826786607504,120.96610560049139,120.96610560049139,0.0035689478715320013,FALSE,Outbreak basin,0.9433379743588265,2.9556343065966244,TRUE,FALSE,FALSE,Above threshold
6618,TB,2026-06-26,30.371103922526043,0.15,8.147637349067324,5,0.5508406725380304,8.194970682263374,32.47434147633612,58.95414608131369,58.95414608131369,0.013503469348658415,FALSE,Endemic,0.13820295756348555,0.25089461336743235,FALSE,FALSE,TRUE,Endemic
6619,AL,2026-06-26,30.371103922526043,0.15,9.432999804428773,15,0.2696,9.383362424792722,42.945259236730635,159.2925045872798,159.2925045872798,0.014507849930852136,FALSE,Endemic,0.059218102125202184,0.21965171411425144,FALSE,FALSE,FALSE,Intermediate
6620,RR,2026-06-26,30.371103922526043,0.15,9.242710464764189,15,0.5012244897959184,3.0381294728722423,26.61510974401608,53.10017823521124,53.10017823521124,0.003337124239707922,FALSE,Endemic,0.17406175971430654,0.34727305480460186,FALSE,FALSE,FALSE,Intermediate
6621,RR,2026-06-26,30.371103922526043,0.15,12.13677160909676,15,0.5012244897959184,6.4906997927464545,39.50729678152129,78.82156116834459,78.82156116834459,0.0016218032276847842,FALSE,Endemic,0.15397781303995525,0.30720329148851006,FALSE,FALSE,FALSE,Intermediate
6622,TW,2026-06-26,30.371103922526043,0.15,14.156460862951985,15,0.3191659983961508,9.050344266928732,20.37093007704243,63.82550202530631,63.82550202530631,0.0015030031985691877,FALSE,Endemic,0.22179944401125212,0.6949344388995763,FALSE,FALSE,FALSE,Intermediate
6623,SI,2026-06-26,30.371103922526043,0.15,1.8721809917964134,0,0.8128,3.25423802761361,31.45191407762468,38.695760430148475,38.695760430148475,0.001967522076425772,FALSE,Endemic,0.0483820700506965,0.05952518460961677,FALSE,FALSE,TRUE,Endemic
6624,RR,2026-06-26,30.371103922526043,0.15,39.393686360191914,35,0.46880000000000005,6.764273597393185,22.279880424030125,47.525342201429446,47.525342201429446,0.0021665802149363035,FALSE,Outbreak basin,0.8288985315082497,1.7681282668691332,TRUE,FALSE,FALSE,Above threshold
