sim_id,site_code,min_N,max_N,final_N
8663,TW,12.765351258077711,15,12.765351258077711
8664,AL,0,4.552895994077486,4.552895994077486
8665,TW,50,62.47839167815235,62.47839167815235
8666,SI,12.884846068955202,15,12.884846068955202
8667,GR,45,121.16525882738394,121.16525882738394
8668,TB,0,3.749811524272506,3.749811524272506
8669,GR,35,36.45327193963623,36.45327193963623
8670,SI,13.735618552974074,15,13.735618552974074
8671,TW,13.981464195375185,15,13.981464195375185
8672,GR,20.481425103477154,30,20.481425103477154
8673,TB,0,3.5187730593422697,3.5187730593422697
8674,RR,11.012249493418265,25,11.012249493418265
8675,GR,5.412519902145787,20,5.412519902145787
8676,TB,0,4.038290783912587,4.038290783912587
8677,GR,55,60.14523001904127,60.14523001904127
8678,RR,8.281054715297154,25,8.281054715297154
8679,SI,0,2.6929350832989516,2.6929350832989516
8680,SI,3.437646859294874,5,3.437646859294874
8681,TB,5,5.386438875719663,5.386438875719663
8682,SI,0,2.654898119945709,2.654898119945709
8683,RR,9.672252362994188,15,9.672252362994188
8684,RR,35,45.74670142519448,45.74670142519448
8685,TW,45,54.72628428568248,54.72628428568248
8686,GR,45,47.207310535819865,47.207310535819865
8687,SI,0,5.926074052967104,5.926074052967104
8688,GR,40,105.98533679146358,105.98533679146358
8689,GR,30,36.07549395825685,36.07549395825685
8690,GR,55,58.79054549668256,58.79054549668256
8691,RR,45,47.44592915235614,47.44592915235614
8692,TW,6.501760167416083,15,6.501760167416083
8693,TW,75,80.66524461298974,80.66524461298974
8694,RR,25,27.307860039314008,27.307860039314008
8695,TW,27.47692996373634,30,27.47692996373634
8696,TB,0,4.535119455801101,4.535119455801101
8697,AL,0,5.9574132108863855,5.9574132108863855
8698,TB,4.4851667265643895,5,4.4851667265643895
8699,GR,55,124.69523146602324,124.69523146602324
8700,TW,50,54.76338157265203,54.76338157265203
8701,RR,30,31.640512788109042,31.640512788109042
8702,RR,11.728824283405832,25,11.728824283405832
8703,SI,0,9.16998878957247,9.16998878957247
8704,GR,40,179.25628351588827,179.25628351588827
8705,RR,25,27.726692610523337,27.726692610523337
8706,AL,0,2.1831420414062,2.1831420414062
8707,SI,0,9.017719491161037,9.017719491161037
