site,n_surveys,N0_type,N0,substrate_date,live_coral_prop,live_coral_percent,state1_scenario,State_1,kc_scenario,K_c,sst_scenario,SST,r_T,K_t,valid_state_order,observed_threshold_position,sim_id
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,disturbed_reef_reduced_K,20,extreme_warm,32,0.0027303721331985464,7.9,FALSE,above_threshold,143
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,disturbed_reef_reduced_K,20,warm,31,0.0037267965227149014,7.9,FALSE,above_threshold,144
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,high_coral_high_K,100,cool,27,0.004258352536147206,39.5,TRUE,above_threshold,145
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,high_coral_high_K,100,current_mean,29,0.004975062395963412,39.5,TRUE,above_threshold,146
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,high_coral_high_K,100,extreme_warm,32,0.0027303721331985464,39.5,TRUE,above_threshold,147
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,high_coral_high_K,100,warm,31,0.0037267965227149014,39.5,TRUE,above_threshold,148
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,low_coral_low_K,25,cool,27,0.004258352536147206,9.875,FALSE,above_threshold,149
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,low_coral_low_K,25,current_mean,29,0.004975062395963412,9.875,FALSE,above_threshold,150
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,low_coral_low_K,25,extreme_warm,32,0.0027303721331985464,9.875,FALSE,above_threshold,151
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,low_coral_low_K,25,warm,31,0.0037267965227149014,9.875,FALSE,above_threshold,152
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,moderate_coral_moderate_K,50,cool,27,0.004258352536147206,19.75,TRUE,above_threshold,153
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,moderate_coral_moderate_K,50,current_mean,29,0.004975062395963412,19.75,TRUE,above_threshold,154
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,moderate_coral_moderate_K,50,extreme_warm,32,0.0027303721331985464,19.75,TRUE,above_threshold,155
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,moderate_coral_moderate_K,50,warm,31,0.0037267965227149014,19.75,TRUE,above_threshold,156
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,recovery_reef_increasing_K,75,cool,27,0.004258352536147206,29.625,TRUE,above_threshold,157
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,recovery_reef_increasing_K,75,current_mean,29,0.004975062395963412,29.625,TRUE,above_threshold,158
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,recovery_reef_increasing_K,75,extreme_warm,32,0.0027303721331985464,29.625,TRUE,above_threshold,159
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,high_endemic,10,recovery_reef_increasing_K,75,warm,31,0.0037267965227149014,29.625,TRUE,above_threshold,160
Green Rock Wall,44,max_observed_density,80,2024-11-01,0.395,39.5,low_endemic,3,disturbed_reef_reduced_K,20,cool,27,0.004258352536147206,7.9,TRUE,above_threshold,161
